Study_Region,Season,Camera_Site,Easting,Northing
Willmore,Winter,W01,304994.1235,5968422.07
Willmore,Winter,W02,309601.2337,5966266.735
Willmore,Winter,W03,314959.0778,5968177.849
Willmore,Winter,W04,311486.0607,5969886.441
Willmore,Winter,W05,310136.8227,5975412.053
Willmore,Winter,W06,314834.2845,5971805.304
Willmore,Winter,W07,319886.149,5968969.749
Willmore,Winter,W08,330580.6214,5974592.157
Willmore,Winter,W09,329727.6356,5970510.26
Willmore,Winter,W10,336191.7286,5974254.43
Willmore,Winter,W11,317633.6329,5961620.981
Willmore,Winter,W12,320209.226,5959172.189
Willmore,Winter,W13,324638.9146,5963648.579
Willmore,Winter,W14,329719.2464,5964591.147
Willmore,Winter,W15,334346.2849,5963824.551
Willmore,Winter,W16,308541.8588,5939983.236
Willmore,Winter,W17,314155.2511,5939378.599
Willmore,Winter,W18,318859.0305,5938082.714
Willmore,Winter,W19,320087.1252,5931992.314
Willmore,Winter,W20,323096.2687,5936845.9
Willmore,Winter,W21,320093.277,5941281.021
Willmore,Winter,W22,327178.7422,5933233.178
Willmore,Winter,W23,327717.904,5938868.723
Willmore,Winter,W24,325779.8923,5945714.723
Willmore,Winter,W25,330278.1731,5944368.587
Willmore,Winter,W26,335524.0508,5938006.266
Willmore,Winter,W27,334243.113,5943836.309
Willmore,Winter,W28,334569.4831,5948986.406
Willmore,Winter,W29,335439.3282,5953344.581
Willmore,Winter,W30,340220.7824,5951219.382
Willmore,Winter,W31,366578.4054,5965010.974
Willmore,Winter,W32,353609.3459,5964328.686
Willmore,Winter,W33,345377.7034,5960581.506
Willmore,Winter,W34,353869.2976,5953179.098
Willmore,Winter,W35,360654.9424,5959787.953
Willmore,Winter,W36,366746.2927,5954586.014
Willmore,Winter,W37,371407.6604,5952884.335
Willmore,Winter,W38,379117.8554,5955215.362
Willmore,Winter,W39,386765.0878,5953540.248
Willmore,Winter,W40,378145.397,5946964.383
Willmore,Winter,W41,385150.6543,5942176.161
Willmore,Winter,W42,382687.8982,5948241.987
Willmore,Winter,W43,395703.1461,5956686.726
Willmore,Winter,W44,395498.5395,5948384.691
Willmore,Winter,W45,393929.1728,5945112.45
Willmore,Winter,W46,403045.5072,5943465.119
Willmore,Winter,W47,410668.4348,5939782.736
Willmore,Winter,W48,420798.51,5936951.214
Willmore,Winter,W49,412981.3435,5933830.317
Willmore,Winter,W50,409194.1361,5929862.05
Willmore,Winter,W51,403866.9719,5928641.248
Willmore,Winter,W52,396678.3747,5926639.393
Willmore,Winter,W53,396667.4772,5934814.147
Willmore,Winter,W54,389718.1678,5926399.594
Willmore,Winter,W55,360628.5297,5949438.58
Willmore,Winter,W56,368407.6047,5944286.248
Willmore,Winter,W57,371058.9732,5936066.17
Willmore,Winter,W58,375913.8389,5931906.419
Willmore,Winter,W59,363817.4984,5940056.645
Willmore,Winter,W60,350425.4743,5942144.189
Willmore,Winter,W61,343850.2996,5946605.715
Willmore,Winter,W62,342508.7223,5938280.656
Willmore,Winter,W63,343562.2532,5930367.742
Willmore,Winter,W64,350117.1797,5933231.931
Willmore,Winter,W65,356259.6299,5936371.602
Willmore,Winter,W66,359632.3793,5927150.338
Willmore,Summer,S1,318667,5921246
Willmore,Summer,S2,331055,5920999
Willmore,Summer,S3,355290,5925648
Willmore,Summer,S4,366693,5927625
Willmore,Summer,S5,379022,5927860
Willmore,Summer,S6,389639,5932183
Willmore,Summer,S7,404499,5930682
Willmore,Summer,S8,318536,5934171
Willmore,Summer,S9,329407,5934921
Willmore,Summer,S10,340365,5934031
Willmore,Summer,S11,353925,5938030
Willmore,Summer,S12,365073,5939079
Willmore,Summer,S13,378882,5939328
Willmore,Summer,S14,390695,5942028
Willmore,Summer,S15,403502,5943634
Willmore,Summer,S16,327938,5947128
Willmore,Summer,S17,340809,5949215
Willmore,Summer,S18,352354,5950065
Willmore,Summer,S19,363473,5953371
Willmore,Summer,S20,376135,5953013
Willmore,Summer,S21,390166,5953745
Willmore,Summer,S22,399389,5956173
Willmore,Summer,S23,313965,5959018
Willmore,Summer,S24,326896,5959826
Willmore,Summer,S25,337741,5960692
Willmore,Summer,S26,350593,5962894
Willmore,Summer,S27,363553,5963837
Willmore,Summer,S28,312793,5970074
Willmore,Summer,S29,324519,5971016
Willmore,Summer,E4,336457,5984606
Willmore,Summer,H1,408018,5942272
Willmore,Summer,H2,333790,5980557
Willmore,Summer,H3,349509,5954196
Willmore,Summer,H4,391794,5934008
Willmore,Summer,H5,377865,5942393
Willmore,Summer,H6,303225,5975704
Willmore,Summer,H7,309716,5934728
Willmore,Summer,H8,381049,5928754
Willmore,Summer,H9,329509,5958815
Willmore,Summer,H10,400746,5941222
Willmore,Summer,E1,328135,5955712
Willmore,Summer,E2,349199,5937272
Willmore,Summer,E3,403333,5952063
Willmore,Summer,E5,325036,5956831
Willmore,Summer,E6,396427,5957664
Willmore,Summer,E7,335550,5941489
Willmore,Summer,E8,374270,5937542
Willmore,Summer,E9,380151,5924551
Willmore,Summer,E10,361280,5939448
Willmore,Summer,W1,317421,5961794
Willmore,Summer,W2,311570,5974466
Willmore,Summer,W3,321931,5969550
Willmore,Summer,W4,330443,5941483
Willmore,Summer,W5,340240,5960928
Willmore,Summer,W6,334820,5985576
Willmore,Summer,W7,322981,5925736
Willmore,Summer,W8,340672,5954485
Willmore,Summer,W9,365533,5950399
Willmore,Summer,W10,350167,5930004
